token,count,Id
congressman,1,510
obstruction,1,510
job,2,577
mean,2,628
say,2,567
middle,5,635
class,2,631
getting,2,825
stepped,1,510
suit,1,510
make,2,542
look,3,542
flat,3,707
right,4,672
woman,1,510
comes,2,778
along,1,510
know,3,579
used,2,765
lie,1,510
gutter,1,510
quit,1,510
drinking,1,510
meditate,2,510
anywhere,1,510
sorry,4,695
inconvenience,1,510
probably,1,510
jumped,2,510
higher,2,510
window,2,627
decided,1,510
take,3,548
lying,1,510
anyone,2,825
steps,1,510
guess,2,607
floors,2,687
hourly,1,511
one,4,632
day,2,553
son,2,511
keep,2,674
heart,1,511
attack,1,511
wish,2,652
found,2,511
yesterday,1,511
attention,1,511
detail,1,511
important,2,645
cardiologist,1,511
sells,1,511
yes,2,522
work,2,534
government,1,511
remember,2,677
anything,1,511
worth,2,511
hardest,1,511
possible,1,511
way,2,585
forecast,1,511
calls,1,511
another,2,756
foot,1,511
snow,4,694
suspension,1,511
child,1,511
labor,1,511
laws,2,548
brother,1,511
yet,1,511
promised,1,511
mother,3,581
shoe,1,511
shopping,1,511
soon,2,537
finished,1,511
pretentious,1,512
ostentatious,1,512
broga,1,512
meets,1,512
floor,2,520
please,1,512
put,2,746
back,3,558
reception,1,512
told,1,512
bring,2,767
lobby,2,545
let,3,674
fred,1,512
first,3,778
visit,1,512
cancelled,1,512
order,3,582
governor,1,512
christie,1,512
dropped,1,512
fly,2,611
allow,1,512
performance,1,512
enhancing,1,512
rugs,1,512
man,2,673
cave,2,560
yoga,1,512
saying,1,513
see,4,712
popular,1,513
insisted,1,513
contract,2,786
longer,2,526
page,1,513
allowed,1,513
carry,2,707
item,1,513
ask,2,655
merger,1,513
case,2,513
must,2,519
always,2,747
opposing,1,513
side,3,700
every,2,637
wan,1,513
share,1,513
cab,1,513
alert,1,513
revolving,1,513
door,2,689
ahead,2,749
act,1,513
normal,1,513
success,1,513
presentation,1,513
depends,1,513
finding,1,513
three,1,513
seats,1,513
together,2,632
grow,1,514
sheriff,2,514
feel,3,520
like,4,785
going,3,531
motions,2,514
losing,2,514
gaining,2,514
sometimes,1,514
think,3,539
toying,1,514
tell,2,523
holding,1,514
hats,1,514
nope,1,514
still,3,630
forth,1,514
nowhere,1,514
head,2,544
carousel,1,514
chance,1,514
goodness,1,514
sake,1,514
piggy,1,514
bank,1,514
childhood,1,515
quickly,1,515
time,6,515
today,3,731
looks,3,785
afraid,2,602
bill,1,515
full,2,864
hour,1,515
forget,1,515
happened,1,515
last,3,595
session,1,515
ran,1,515
late,1,515
almost,2,676
want,3,793
pay,1,515
makes,1,515
believe,2,590
breakthrough,1,515
coming,2,766
concrete,1,516
plans,1,516
rest,1,516
drops,1,516
weight,1,516
worry,1,516
grave,1,516
better,3,857
give,3,763
short,1,516
version,1,516
duck,1,516
lunch,1,516
waiting,1,516
next,5,644
big,2,894
idea,2,537
hit,1,516
tragedy,1,516
soul,1,516
crushing,1,516
predictability,1,516
life,2,605
could,3,788
explain,1,516
god,2,714
clause,1,516
wanted,4,739
figuratively,1,516
pretty,2,766
sure,2,655
melissa,1,516
thought,3,577
get,4,855
tax,1,517
evasion,1,517
unethical,1,517
shot,2,618
jurors,2,517
four,1,517
seven,1,517
laugh,2,613
talk,1,517
death,2,761
penalty,1,517
stop,2,697
bringing,1,517
new,2,640
judge,1,517
looked,1,517
convinced,1,517
older,1,517
appointed,1,517
killed,1,517
acquittal,1,517
priors,2,517
problem,3,713
lose,1,517
leave,2,623
saddest,1,518
part,2,608
wrong,2,523
direction,1,518
annoying,1,518
vultures,1,518
land,2,626
awesome,1,518
minutes,2,676
quarter,2,813
guy,2,544
got,3,560
shipwrecked,1,518
wading,1,518
pool,2,854
lawrence,1,518
suburbia,1,518
survives,1,518
board,2,853
runs,1,518
credit,1,518
check,2,763
well,4,759
least,1,518
left,3,851
behind,1,518
specify,1,518
would,3,722
come,2,590
built,1,518
need,3,718
bigger,2,853
scooper,1,518
parents,2,893
never,3,771
picked,1,518
stance,1,519
migration,1,519
call,3,814
riding,2,519
shotgun,2,519
might,1,519
empty,2,520
nesters,1,519
sooner,1,519
great,1,519
endangered,2,519
mockingbird,1,519
gives,1,519
whole,1,519
meaning,1,519
personality,1,519
songs,1,519
memorable,1,519
bad,2,685
nice,2,872
species,1,519
list,4,688
dave,3,750
since,1,519
flying,1,519
danger,1,520
others,2,520
opened,1,520
eating,1,520
split,3,520
bruise,1,520
easier,3,707
comfortable,2,520
required,1,520
report,1,520
bruises,1,520
feeling,1,520
maybe,2,674
brutally,1,520
honest,1,520
accident,1,520
happen,1,520
blame,1,520
raining,1,521
wait,3,827
joining,2,521
wetness,2,521
protection,2,521
program,2,521
said,5,646
showers,1,521
doubled,1,521
contribution,1,521
pbs,1,521
kids,3,809
grown,1,521
downsize,1,521
fail,1,521
seen,2,691
mai,1,521
tai,1,521
tried,1,522
turning,1,522
sir,4,522
martini,1,522
screwdriver,1,522
monster,1,522
hand,2,522
license,1,522
says,2,726
organ,1,522
donor,1,522
requests,1,522
upstairs,1,522
try,2,826
creating,1,522
old,3,558
fashioned,1,522
eyes,3,526
requiring,1,522
else,1,522
run,1,522
hell,3,617
needed,2,829
alfred,1,522
watching,2,637
feed,1,522
birds,1,522
spleen,1,522
ordered,2,523
unfortunately,1,522
arm,1,522
leg,1,522
amazon,3,534
birthday,1,523
instead,1,523
care,1,523
mind,2,558
monkey,2,523
much,2,527
doo,1,523
fun,1,523
barrel,1,523
wine,2,589
argument,1,523
without,2,800
monkeys,1,523
elephant,3,810
room,5,558
everyone,2,810
gotten,1,523
apparently,1,523
george,1,523
curious,1,523
evolved,1,523
friends,1,523
picture,3,804
dammit,1,524
kill,3,819
smoking,1,524
touché,1,524
flambé,1,524
seems,1,524
reptile,8,651
dysfunction,6,651
licensed,1,524
small,3,548
arms,1,524
crap,1,524
harry,3,698
usual,1,524
dream,1,524
momma,1,524
knights,1,524
tiny,1,524
hands,1,524
trumpasaurus,1,524
trust,1,524
many,1,524
levels,1,524
hey,1,526
autocorrected,2,526
hula,1,526
excuse,1,526
miss,2,555
good,3,684
samaritan,2,526
wash,2,673
cold,2,660
water,3,630
cleaning,1,526
kitchen,2,533
asked,3,647
dangerous,1,526
lasts,1,526
hours,3,573
supposed,1,526
contact,1,526
theologian,1,526
away,3,533
profile,2,767
pic,1,527
either,2,527
voted,1,527
believed,1,527
observed,1,527
barn,1,527
questions,1,527
greetings,1,527
penis,1,527
probe,1,527
hardly,1,527
cows,1,527
speak,1,527
highly,1,527
surprised,1,527
john,2,802
really,2,574
changed,1,527
high,1,527
school,1,527
thank,2,669
quinoa,1,527
welcome,2,528
aboard,1,527
uranus,1,527
watchers,1,528
discuss,1,528
firing,1,528
architect,1,528
meeting,1,528
entertaining,1,528
motion,1,528
evacuate,1,528
hear,1,528
second,3,553
captain,1,528
assures,1,528
iceberg,1,528
orientation,1,528
concerned,1,528
company,2,758
heading,1,528
someone,2,785
straighten,1,528
understand,1,528
